                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65784,                 2.6983,                 1.3211,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.080796,              0.0006369,              0.0006369
                      2,                0.69469,                 2.4525,                 1.3543,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.061396,              0.0012368,              0.0012368
                      3,                0.67699,                 2.3744,                  1.335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.041953,              0.0017946,              0.0017946
                      4,                0.63934,                 2.2054,                 1.2859,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.022469,                0.00231,                0.00231
                      5,                 0.6196,                 2.1421,                 1.2609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002942,              0.0027833,              0.0027833
                      6,                 0.6173,                 2.0499,                 1.2542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026821,              0.0026821,              0.0026821
                      7,                 0.5954,                 1.9552,                  1.233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026821,              0.0026821,              0.0026821
                      8,                0.58295,                 1.8735,                 1.2166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025766,              0.0025766,              0.0025766
                      9,                0.57856,                 1.8227,                 1.2013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002471,               0.002471,               0.002471
                     10,                0.55084,                  1.764,                 1.1789,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023654,              0.0023654,              0.0023654
                     11,                0.56071,                 1.7173,                 1.1744,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022599,              0.0022599,              0.0022599
                     12,                0.55846,                 1.7338,                 1.1752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021543,              0.0021543,              0.0021543
                     13,                  0.536,                 1.6184,                 1.1501,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020487,              0.0020487,              0.0020487
                     14,                 0.5229,                 1.5746,                 1.1328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019431,              0.0019431,              0.0019431
                     15,                0.52875,                 1.5295,                 1.1298,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018376,              0.0018376,              0.0018376
                     16,                0.52025,                 1.4565,                 1.1155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001732,               0.001732,               0.001732
                     17,                0.52296,                 1.4762,                 1.1264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016264,              0.0016264,              0.0016264
                     18,                0.50371,                 1.4002,                 1.1005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015209,              0.0015209,              0.0015209
                     19,                0.49003,                 1.3534,                 1.0832,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014153,              0.0014153,              0.0014153
                     20,                0.49128,                 1.3015,                 1.0821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013097,              0.0013097,              0.0013097
                     21,                 0.4796,                 1.2856,                 1.0835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012041,              0.0012041,              0.0012041
                     22,                0.46478,                 1.1728,                 1.0718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010986,              0.0010986,              0.0010986
                     23,                0.45349,                 1.1435,                 1.0366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000993,               0.000993,               0.000993
                     24,                0.45086,                 1.1101,                 1.0479,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088743,             0.00088743,             0.00088743
                     25,                0.43356,                 1.0438,                 1.0158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00078185,             0.00078185,             0.00078185
                     26,                0.43164,                0.96901,                 1.0131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00067628,             0.00067628,             0.00067628
                     27,                0.41705,                0.93445,                0.99982,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057071,             0.00057071,             0.00057071
                     28,                0.40993,                0.88488,                0.97762,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00046514,             0.00046514,             0.00046514
                     29,                0.40457,                0.85843,                 0.9672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00035957,             0.00035957,             0.00035957
                     30,                0.38483,                0.78128,                0.94989,                0.66371,                0.61411,                0.68788,                0.48598,                 0.5476,                 1.1002,                 1.2051,               0.000254,               0.000254,               0.000254
