                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0024,                 2.9916,                 2.2193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.07214,              0.0014139,              0.0014139
                      2,                 1.0399,                 2.8158,                  2.276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043963,              0.0027454,              0.0027454
                      3,                0.97865,                 2.6568,                 2.2015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015692,              0.0039829,              0.0039829
                      4,                0.96814,                 2.5571,                 2.1506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043516,              0.0043516,              0.0043516
                      5,                 0.9285,                 2.4641,                 2.1099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043516,              0.0043516,              0.0043516
                      6,                0.90722,                 2.3325,                 2.0418,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041922,              0.0041922,              0.0041922
                      7,                 0.8806,                 2.2725,                 2.0139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040327,              0.0040327,              0.0040327
                      8,                 0.8707,                 2.2161,                 2.0111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038732,              0.0038732,              0.0038732
                      9,                  0.853,                 2.1523,                 1.9518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037138,              0.0037138,              0.0037138
                     10,                0.85379,                 2.1075,                 1.9676,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035543,              0.0035543,              0.0035543
                     11,                0.83615,                 2.0157,                 1.9246,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033949,              0.0033949,              0.0033949
                     12,                0.84073,                 2.0295,                 1.9411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032354,              0.0032354,              0.0032354
                     13,                0.79499,                 1.9535,                  1.876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030759,              0.0030759,              0.0030759
                     14,                0.80365,                 1.9145,                 1.8707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029165,              0.0029165,              0.0029165
                     15,                 0.8035,                 1.9149,                   1.89,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002757,               0.002757,               0.002757
                     16,                0.77083,                 1.7961,                 1.8407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025976,              0.0025976,              0.0025976
                     17,                 0.7755,                 1.8384,                 1.8411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024381,              0.0024381,              0.0024381
                     18,                0.75335,                 1.7263,                 1.8212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022787,              0.0022787,              0.0022787
                     19,                0.72917,                 1.6914,                  1.774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021192,              0.0021192,              0.0021192
                     20,                0.73284,                 1.6301,                 1.7892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019597,              0.0019597,              0.0019597
                     21,                0.72074,                 1.6584,                 1.7968,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018003,              0.0018003,              0.0018003
                     22,                0.70775,                 1.5748,                 1.7826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016408,              0.0016408,              0.0016408
                     23,                0.69767,                 1.5289,                 1.7582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014814,              0.0014814,              0.0014814
                     24,                0.70064,                 1.5479,                 1.7785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013219,              0.0013219,              0.0013219
                     25,                 0.6787,                 1.4302,                 1.7351,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011624,              0.0011624,              0.0011624
                     26,                0.67004,                 1.4261,                 1.7107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001003,               0.001003,               0.001003
                     27,                0.65261,                 1.3778,                 1.7064,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084352,             0.00084352,             0.00084352
                     28,                0.65007,                 1.3346,                 1.6794,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068406,             0.00068406,             0.00068406
                     29,                0.63012,                 1.2789,                 1.6468,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005246,              0.0005246,              0.0005246
                     30,                0.60724,                 1.2121,                 1.6233,                0.50666,                0.56785,                 0.5734,                0.40762,                0.77047,                    1.2,                 1.9194,             0.00036514,             0.00036514,             0.00036514
