                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97654,                 3.1937,                 1.3619,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072691,              0.0011646,              0.0011646
                      2,                 1.0222,                 2.9718,                 1.3933,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045086,              0.0022613,              0.0022613
                      3,                0.97186,                  2.827,                 1.3532,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017403,              0.0032804,              0.0032804
                      4,                0.94123,                  2.664,                 1.3164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036849,              0.0036849,              0.0036849
                      5,                0.89144,                 2.5461,                 1.2684,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036849,              0.0036849,              0.0036849
                      6,                0.88058,                 2.4456,                 1.2528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035498,              0.0035498,              0.0035498
                      7,                0.85201,                  2.355,                 1.2284,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034148,              0.0034148,              0.0034148
                      8,                 0.8494,                 2.2305,                 1.2133,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032797,              0.0032797,              0.0032797
                      9,                0.82009,                 2.1451,                 1.1979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031447,              0.0031447,              0.0031447
                     10,                0.79579,                  2.126,                 1.1803,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030097,              0.0030097,              0.0030097
                     11,                0.80747,                 2.0539,                 1.1594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028746,              0.0028746,              0.0028746
                     12,                0.80826,                 2.0353,                 1.1806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027396,              0.0027396,              0.0027396
                     13,                0.77223,                 1.9623,                 1.1538,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026045,              0.0026045,              0.0026045
                     14,                0.76441,                 1.9201,                 1.1435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024695,              0.0024695,              0.0024695
                     15,                0.76846,                  1.914,                 1.1361,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023344,              0.0023344,              0.0023344
                     16,                0.75411,                 1.8136,                   1.13,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021994,              0.0021994,              0.0021994
                     17,                0.74633,                 1.7938,                 1.1166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020643,              0.0020643,              0.0020643
                     18,                0.73554,                 1.7557,                 1.1058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019293,              0.0019293,              0.0019293
                     19,                 0.7136,                 1.6586,                 1.0893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017943,              0.0017943,              0.0017943
                     20,                0.71717,                 1.6588,                 1.0947,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016592,              0.0016592,              0.0016592
                     21,                0.69104,                 1.6108,                 1.0856,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015242,              0.0015242,              0.0015242
                     22,                0.68331,                 1.5327,                 1.0815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013891,              0.0013891,              0.0013891
                     23,                0.66654,                 1.4906,                  1.056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012541,              0.0012541,              0.0012541
                     24,                0.66427,                 1.4986,                 1.0613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001119,               0.001119,               0.001119
                     25,                0.63885,                 1.3813,                 1.0317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000984,               0.000984,               0.000984
                     26,                 0.6317,                 1.3519,                 1.0153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084895,             0.00084895,             0.00084895
                     27,                0.61754,                 1.2795,                 1.0143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00071391,             0.00071391,             0.00071391
                     28,                0.60668,                 1.2253,                0.99092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057887,             0.00057887,             0.00057887
                     29,                0.60055,                 1.1987,                0.98567,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044382,             0.00044382,             0.00044382
                     30,                0.57741,                 1.1039,                0.96981,                0.52425,                0.60383,                0.59874,                0.43062,                0.75675,                 1.2947,                 1.1607,             0.00030878,             0.00030878,             0.00030878
