                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83127,                  3.123,                 1.5146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072671,              0.0011446,              0.0011446
                      2,                0.88138,                 3.0072,                 1.5674,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.045047,              0.0022226,              0.0022226
                      3,                 0.8369,                 2.8176,                 1.5222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.017347,              0.0032244,              0.0032244
                      4,                 0.8077,                 2.6672,                 1.4542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036221,              0.0036221,              0.0036221
                      5,                0.77191,                 2.5383,                 1.4295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036221,              0.0036221,              0.0036221
                      6,                 0.7506,                 2.4376,                 1.3926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034895,              0.0034895,              0.0034895
                      7,                0.73656,                 2.3537,                 1.3824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033568,              0.0033568,              0.0033568
                      8,                0.71463,                 2.2294,                 1.3502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032242,              0.0032242,              0.0032242
                      9,                0.71299,                 2.1561,                 1.3426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030915,              0.0030915,              0.0030915
                     10,                0.67006,                  2.095,                 1.3004,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029589,              0.0029589,              0.0029589
                     11,                0.67965,                 2.0478,                 1.2931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028263,              0.0028263,              0.0028263
                     12,                0.69748,                 2.0086,                 1.3159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026936,              0.0026936,              0.0026936
                     13,                0.65911,                 1.9515,                 1.2855,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002561,               0.002561,               0.002561
                     14,                0.65891,                 1.9242,                 1.2747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024284,              0.0024284,              0.0024284
                     15,                0.66554,                 1.9003,                 1.2819,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022957,              0.0022957,              0.0022957
                     16,                 0.6496,                 1.8042,                 1.2579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021631,              0.0021631,              0.0021631
                     17,                0.63972,                  1.788,                 1.2482,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020304,              0.0020304,              0.0020304
                     18,                0.62625,                 1.7228,                 1.2455,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018978,              0.0018978,              0.0018978
                     19,                0.60441,                 1.6643,                 1.2106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017652,              0.0017652,              0.0017652
                     20,                0.61114,                 1.6166,                 1.2117,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016325,              0.0016325,              0.0016325
                     21,                 0.5939,                 1.6198,                 1.2158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014999,              0.0014999,              0.0014999
                     22,                0.58067,                 1.4948,                 1.2049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013673,              0.0013673,              0.0013673
                     23,                0.56861,                  1.463,                 1.1742,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012346,              0.0012346,              0.0012346
                     24,                0.56001,                 1.4302,                 1.1714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001102,               0.001102,               0.001102
                     25,                0.54716,                 1.3321,                 1.1402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096934,             0.00096934,             0.00096934
                     26,                0.53846,                 1.3016,                 1.1254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083671,             0.00083671,             0.00083671
                     27,                0.53053,                 1.2454,                 1.1304,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00070407,             0.00070407,             0.00070407
                     28,                0.51979,                 1.2122,                  1.104,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057143,             0.00057143,             0.00057143
                     29,                 0.5102,                 1.1441,                 1.0863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004388,              0.0004388,              0.0004388
                     30,                0.48681,                 1.0684,                 1.0658,                0.52985,                0.57326,                0.61933,                 0.4319,                 0.6576,                 1.2567,                 1.3108,             0.00030616,             0.00030616,             0.00030616
