                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68729,                 2.6546,                 1.3462,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.079121,             0.00071028,             0.00071028
                      2,                0.72707,                 2.4685,                 1.3951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.058029,              0.0013793,              0.0013793
                      3,                0.70975,                 2.3359,                 1.3545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036889,              0.0020013,              0.0020013
                      4,                0.67673,                 2.1965,                 1.3105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015702,              0.0025762,              0.0025762
                      5,                 0.6375,                  2.123,                 1.2767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028572,              0.0028572,              0.0028572
                      6,                0.64695,                 2.0579,                 1.2878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028572,              0.0028572,              0.0028572
                      7,                0.62416,                 1.9469,                 1.2596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002749,               0.002749,               0.002749
                      8,                0.60662,                 1.8552,                 1.2335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026408,              0.0026408,              0.0026408
                      9,                0.59912,                 1.7965,                  1.216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025326,              0.0025326,              0.0025326
                     10,                0.58176,                 1.7201,                 1.1926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024244,              0.0024244,              0.0024244
                     11,                0.59169,                 1.6915,                 1.1891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023162,              0.0023162,              0.0023162
                     12,                0.58505,                 1.6675,                 1.1974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002208,               0.002208,               0.002208
                     13,                0.56065,                 1.6139,                 1.1662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020998,              0.0020998,              0.0020998
                     14,                0.55619,                 1.5947,                 1.1508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019916,              0.0019916,              0.0019916
                     15,                0.56086,                 1.5857,                 1.1585,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018834,              0.0018834,              0.0018834
                     16,                0.54139,                 1.5013,                 1.1425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017752,              0.0017752,              0.0017752
                     17,                0.54695,                 1.4485,                 1.1399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001667,               0.001667,               0.001667
                     18,                0.53918,                  1.419,                 1.1312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015588,              0.0015588,              0.0015588
                     19,                0.50325,                 1.3344,                 1.0941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014506,              0.0014506,              0.0014506
                     20,                0.51087,                 1.2924,                  1.089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013424,              0.0013424,              0.0013424
                     21,                 0.4995,                 1.2614,                 1.0946,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012342,              0.0012342,              0.0012342
                     22,                0.48678,                 1.1733,                 1.0836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011259,              0.0011259,              0.0011259
                     23,                 0.4759,                 1.1601,                  1.056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010177,              0.0010177,              0.0010177
                     24,                0.47159,                 1.1167,                 1.0639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090954,             0.00090954,             0.00090954
                     25,                0.45181,                 1.0246,                 1.0273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080134,             0.00080134,             0.00080134
                     26,                0.45096,                0.96642,                  1.024,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00069314,             0.00069314,             0.00069314
                     27,                0.43589,                0.93157,                 1.0134,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058493,             0.00058493,             0.00058493
                     28,                0.42746,                0.90114,                0.98738,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00047673,             0.00047673,             0.00047673
                     29,                0.42521,                0.86966,                0.97966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036853,             0.00036853,             0.00036853
                     30,                 0.4032,                0.78523,                0.96255,                0.60133,                0.69406,                0.68928,                0.47781,                0.56715,                 1.0665,                 1.2178,             0.00026033,             0.00026033,             0.00026033
