                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96537,                 3.0191,                 1.4657,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.075346,             0.00080448,             0.00080448
                      2,                 1.0428,                 2.8763,                 1.5414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.050442,              0.0015621,              0.0015621
                      3,                0.99763,                 2.7475,                 1.5017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.025484,              0.0022662,              0.0022662
                      4,                0.96039,                 2.5973,                 1.4595,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028472,              0.0028472,              0.0028472
                      5,                 0.9348,                 2.4746,                 1.4309,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028472,              0.0028472,              0.0028472
                      6,                0.88956,                 2.3326,                 1.3876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002743,               0.002743,               0.002743
                      7,                0.86655,                 2.2544,                 1.3562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026387,              0.0026387,              0.0026387
                      8,                0.84857,                 2.1729,                 1.3443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025344,              0.0025344,              0.0025344
                      9,                0.84593,                  2.082,                 1.3378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024302,              0.0024302,              0.0024302
                     10,                0.82576,                  2.051,                 1.3103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023259,              0.0023259,              0.0023259
                     11,                 0.8071,                 1.9999,                 1.2994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022216,              0.0022216,              0.0022216
                     12,                0.83084,                 1.9857,                 1.3216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021174,              0.0021174,              0.0021174
                     13,                0.78651,                 1.8891,                 1.2607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020131,              0.0020131,              0.0020131
                     14,                0.77971,                 1.8796,                 1.2672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019089,              0.0019089,              0.0019089
                     15,                0.78916,                 1.8917,                 1.2839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018046,              0.0018046,              0.0018046
                     16,                0.76917,                  1.772,                 1.2588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017003,              0.0017003,              0.0017003
                     17,                0.75969,                 1.6942,                 1.2385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015961,              0.0015961,              0.0015961
                     18,                0.73082,                 1.6395,                 1.2159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014918,              0.0014918,              0.0014918
                     19,                0.72136,                 1.5836,                 1.2006,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013875,              0.0013875,              0.0013875
                     20,                0.72377,                 1.5531,                 1.2094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012833,              0.0012833,              0.0012833
                     21,                 0.7034,                 1.5106,                 1.2088,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001179,               0.001179,               0.001179
                     22,                 0.6821,                 1.4255,                 1.1981,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010748,              0.0010748,              0.0010748
                     23,                0.67393,                 1.4131,                 1.1755,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009705,              0.0009705,              0.0009705
                     24,                0.66625,                 1.3847,                 1.1784,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086623,             0.00086623,             0.00086623
                     25,                0.64793,                 1.2548,                 1.1441,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00076197,             0.00076197,             0.00076197
                     26,                0.64127,                 1.2374,                 1.1341,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065771,             0.00065771,             0.00065771
                     27,                0.61905,                 1.1937,                 1.1229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00055345,             0.00055345,             0.00055345
                     28,                 0.6159,                 1.1441,                 1.1056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00044919,             0.00044919,             0.00044919
                     29,                0.60236,                 1.0881,                 1.0872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034492,             0.00034492,             0.00034492
                     30,                0.57754,                  1.024,                 1.0726,                0.62355,                 0.5771,                0.65218,                 0.4616,                0.79492,                 1.1682,                 1.3326,             0.00024066,             0.00024066,             0.00024066
