                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85896,                 2.7462,                 1.9743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077793,              0.0012453,              0.0012453
                      2,                0.89764,                 2.5854,                 2.0251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.055326,              0.0024182,              0.0024182
                      3,                0.85662,                 2.4822,                 1.9594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.032777,              0.0035084,              0.0035084
                      4,                0.84974,                 2.3848,                 1.9326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.010144,              0.0045158,              0.0045158
                      5,                0.80575,                 2.2828,                 1.8839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046102,              0.0046102,              0.0046102
                      6,                0.80367,                 2.2374,                 1.8729,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046102,              0.0046102,              0.0046102
                      7,                0.78291,                 2.1562,                 1.8446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044353,              0.0044353,              0.0044353
                      8,                0.78128,                 2.0947,                  1.822,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042604,              0.0042604,              0.0042604
                      9,                0.75094,                 2.0003,                  1.791,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040854,              0.0040854,              0.0040854
                     10,                0.72641,                 1.9815,                 1.7471,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039105,              0.0039105,              0.0039105
                     11,                0.74146,                 1.9244,                  1.749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037355,              0.0037355,              0.0037355
                     12,                0.73443,                 1.9182,                  1.752,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035606,              0.0035606,              0.0035606
                     13,                0.70621,                 1.8586,                 1.7143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033856,              0.0033856,              0.0033856
                     14,                 0.7051,                   1.82,                 1.7192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032107,              0.0032107,              0.0032107
                     15,                0.70624,                 1.8068,                 1.7035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030358,              0.0030358,              0.0030358
                     16,                0.69399,                 1.7311,                  1.687,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028608,              0.0028608,              0.0028608
                     17,                 0.6825,                 1.6963,                 1.6683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026859,              0.0026859,              0.0026859
                     18,                0.66689,                 1.6561,                 1.6432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025109,              0.0025109,              0.0025109
                     19,                0.65048,                 1.5964,                 1.6221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002336,               0.002336,               0.002336
                     20,                0.65681,                 1.5897,                 1.6297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021611,              0.0021611,              0.0021611
                     21,                0.63995,                 1.5424,                  1.626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019861,              0.0019861,              0.0019861
                     22,                0.62113,                 1.4786,                 1.6049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018112,              0.0018112,              0.0018112
                     23,                0.60449,                 1.4374,                 1.5708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016362,              0.0016362,              0.0016362
                     24,                0.60873,                 1.4129,                 1.5909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014613,              0.0014613,              0.0014613
                     25,                0.59573,                 1.3669,                 1.5494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012863,              0.0012863,              0.0012863
                     26,                0.59104,                 1.3451,                 1.5457,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011114,              0.0011114,              0.0011114
                     27,                0.57693,                 1.3129,                 1.5377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093646,             0.00093646,             0.00093646
                     28,                0.57222,                 1.2507,                 1.5101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00076152,             0.00076152,             0.00076152
                     29,                0.55615,                 1.2251,                 1.4799,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00058658,             0.00058658,             0.00058658
                     30,                  0.538,                 1.1545,                 1.4619,                0.47371,                0.56928,                0.52281,                0.36204,                0.67921,                 1.1649,                 1.7304,             0.00041164,             0.00041164,             0.00041164
