fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.3568,0.00721,0.00969,0.98,0.00047,3.28927,0.63056,7.29734,0.49361,1.72124,0.01339,0.41153,0.41099,0.0,0.11394,0.27484,0.0,0.0,0.0,0.31742,0.93748,0.0,0.0
0.38321,0.00745,0.01163,0.93427,0.00048,3.86283,0.63628,6.87616,0.52083,1.42129,0.01254,0.57164,0.50969,0.0,0.12389,0.43058,0.0,0.0,0.0,0.27547,0.90949,0.0,0.0
0.43952,0.00494,0.01163,0.93611,0.00064,3.86283,0.63628,4.21972,0.44643,1.63383,0.01219,0.61169,0.50969,0.0,0.11608,0.43058,0.0,0.0,0.0,0.23629,0.76426,0.0,0.0
0.37812,0.00531,0.01163,0.93611,0.00064,4.22909,0.5995,3.96841,0.4011,1.57917,0.01355,0.61169,0.50969,0.0,0.10569,0.38105,0.0,0.0,0.0,0.23717,0.79895,0.0,0.0
0.43383,0.00494,0.01279,0.89956,0.00057,3.80851,0.69113,3.80061,0.43464,1.75816,0.01177,0.47977,0.51666,0.0,0.1168,0.42836,0.0,0.0,0.0,0.23629,0.77773,0.0,0.0
0.42203,0.00488,0.01303,0.89841,0.00058,3.83916,0.6744,3.9437,0.43379,1.75816,0.01195,0.48042,0.51666,0.0,0.11796,0.43024,0.0,0.0,0.0,0.23534,0.77778,0.0,0.0
0.3879,0.00464,0.01163,0.90645,0.0003,3.64262,0.74874,4.65274,0.34403,1.97506,0.01219,0.29967,0.33185,0.0,0.11219,0.43058,0.0,0.0,0.0,0.21278,0.79206,0.0,0.0
0.40411,0.005,0.01245,0.89449,0.00057,3.74297,0.69442,3.78531,0.42815,1.80346,0.01171,0.49176,0.5171,0.0,0.11112,0.44482,0.0,0.0,0.0,0.23069,0.76407,0.0,0.0
0.43378,0.00516,0.01254,0.89956,0.00061,3.49934,0.67851,3.80061,0.44729,1.94398,0.01059,0.47977,0.53601,0.0,0.12936,0.49536,0.0,0.0,0.0,0.22322,0.86505,0.0,0.0
0.4171,0.00428,0.015,0.84215,0.0005,3.80851,0.73202,4.0393,0.41497,1.72267,0.01177,0.46466,0.51666,0.0,0.1066,0.34519,0.0,0.0,0.0,0.25057,0.77773,0.0,0.0
0.43647,0.00494,0.01163,0.95368,0.00062,3.82273,0.63628,4.37243,0.39284,1.67267,0.0114,0.66142,0.53977,0.0,0.1047,0.43252,0.0,0.0,0.0,0.22646,0.70253,0.0,0.0
0.42209,0.00499,0.01218,0.93434,0.00062,3.86991,0.64711,4.00282,0.4688,1.68911,0.01278,0.66106,0.54297,0.0,0.1224,0.42359,0.0,0.0,0.0,0.23835,0.76426,0.0,0.0
