                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87306,                 2.8674,                 2.1542,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.075073,              0.0011146,              0.0011146
                      2,                0.93798,                 2.6926,                  2.266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.049873,              0.0021646,              0.0021646
                      3,                 0.8871,                 2.5712,                 2.1441,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024599,              0.0031408,              0.0031408
                      4,                0.85065,                 2.4442,                 2.0775,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038584,              0.0038584,              0.0038584
                      5,                0.82507,                 2.3523,                 2.0438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038584,              0.0038584,              0.0038584
                      6,                0.81211,                 2.2594,                 2.0023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037179,              0.0037179,              0.0037179
                      7,                0.79094,                 2.2429,                 1.9967,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035774,              0.0035774,              0.0035774
                      8,                0.76837,                   2.11,                 1.9558,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034368,              0.0034368,              0.0034368
                      9,                0.74613,                 2.0121,                 1.9033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032963,              0.0032963,              0.0032963
                     10,                0.72978,                 1.9984,                 1.8785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031558,              0.0031558,              0.0031558
                     11,                0.72858,                 1.9526,                 1.8764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030153,              0.0030153,              0.0030153
                     12,                0.73041,                 1.9225,                 1.8876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028747,              0.0028747,              0.0028747
                     13,                0.70514,                 1.8565,                  1.835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027342,              0.0027342,              0.0027342
                     14,                  0.695,                 1.7723,                 1.8078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025937,              0.0025937,              0.0025937
                     15,                0.70744,                 1.7996,                 1.8347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024532,              0.0024532,              0.0024532
                     16,                0.68443,                 1.7229,                 1.8028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023126,              0.0023126,              0.0023126
                     17,                0.69028,                 1.7302,                 1.8032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021721,              0.0021721,              0.0021721
                     18,                0.66754,                 1.6672,                 1.7781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020316,              0.0020316,              0.0020316
                     19,                0.64704,                 1.5766,                 1.7342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001891,               0.001891,               0.001891
                     20,                0.65048,                 1.5689,                 1.7395,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017505,              0.0017505,              0.0017505
                     21,                0.62708,                 1.5323,                 1.7411,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00161,                0.00161,                0.00161
                     22,                0.61414,                 1.4526,                  1.717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014695,              0.0014695,              0.0014695
                     23,                0.60722,                 1.4013,                 1.6937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013289,              0.0013289,              0.0013289
                     24,                0.60222,                 1.4106,                 1.7058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011884,              0.0011884,              0.0011884
                     25,                0.58614,                 1.3105,                 1.6562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010479,              0.0010479,              0.0010479
                     26,                0.58012,                 1.3086,                 1.6339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090736,             0.00090736,             0.00090736
                     27,                0.56059,                 1.2215,                 1.6233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00076683,             0.00076683,             0.00076683
                     28,                0.56021,                 1.2022,                 1.6017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00062631,             0.00062631,             0.00062631
                     29,                0.54509,                 1.1794,                 1.5767,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00048578,             0.00048578,             0.00048578
                     30,                0.52101,                  1.094,                  1.547,                0.47519,                0.59304,                0.58097,                0.39889,                0.68511,                 1.2003,                 1.8751,             0.00034525,             0.00034525,             0.00034525
