                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1344,                 3.6136,                 1.9911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06836,              0.0019624,              0.0019624
                      2,                 1.1808,                   3.39,                 2.0256,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.036337,              0.0038104,              0.0038104
                      3,                  1.107,                 3.1886,                 1.9383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054544,              0.0054544,              0.0054544
                      4,                 1.0659,                 3.0503,                 1.8849,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054544,              0.0054544,              0.0054544
                      5,                 1.0328,                 2.9278,                  1.829,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052616,              0.0052616,              0.0052616
                      6,                 1.0047,                 2.8482,                 1.8089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050689,              0.0050689,              0.0050689
                      7,                0.98444,                 2.7816,                 1.7911,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048761,              0.0048761,              0.0048761
                      8,                0.97218,                 2.6465,                 1.7443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046833,              0.0046833,              0.0046833
                      9,                0.94056,                 2.5719,                 1.7137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044905,              0.0044905,              0.0044905
                     10,                0.93211,                 2.5247,                  1.697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042977,              0.0042977,              0.0042977
                     11,                0.91918,                 2.4686,                 1.6891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041049,              0.0041049,              0.0041049
                     12,                 0.9168,                 2.4484,                 1.6884,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039122,              0.0039122,              0.0039122
                     13,                0.89728,                 2.3527,                 1.6507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037194,              0.0037194,              0.0037194
                     14,                0.88868,                 2.2971,                 1.6445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035266,              0.0035266,              0.0035266
                     15,                0.89723,                  2.322,                 1.6623,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033338,              0.0033338,              0.0033338
                     16,                0.87122,                 2.2167,                 1.6349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003141,               0.003141,               0.003141
                     17,                0.86749,                 2.1486,                 1.6258,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029482,              0.0029482,              0.0029482
                     18,                0.83592,                 2.0506,                 1.6058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027555,              0.0027555,              0.0027555
                     19,                 0.8102,                 2.0031,                 1.5647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025627,              0.0025627,              0.0025627
                     20,                0.82582,                 1.9975,                 1.5879,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023699,              0.0023699,              0.0023699
                     21,                0.81236,                 2.0244,                 1.5997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021771,              0.0021771,              0.0021771
                     22,                0.79561,                 1.9075,                 1.5923,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019843,              0.0019843,              0.0019843
                     23,                0.78487,                 1.8646,                 1.5682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017915,              0.0017915,              0.0017915
                     24,                0.78544,                  1.873,                 1.5729,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015987,              0.0015987,              0.0015987
                     25,                0.76197,                 1.7479,                 1.5376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                     26,                0.75251,                  1.727,                  1.502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012132,              0.0012132,              0.0012132
                     27,                0.74221,                 1.6896,                 1.5169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010204,              0.0010204,              0.0010204
                     28,                0.72919,                 1.6146,                  1.483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082761,             0.00082761,             0.00082761
                     29,                0.71808,                 1.5853,                 1.4626,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00063483,             0.00063483,             0.00063483
                     30,                 0.6955,                 1.4911,                 1.4475,                 0.4454,                0.66562,                0.56155,                0.40364,                0.83376,                 1.4231,                  1.631,             0.00044204,             0.00044204,             0.00044204
