                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6092,                 4.2653,                 1.8672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.071587,              0.0025278,              0.0025278
                      2,                 1.6305,                 3.9356,                 1.8452,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.04278,              0.0049086,              0.0049086
                      3,                 1.5423,                 3.7961,                 1.7899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013804,              0.0071213,              0.0071213
                      4,                 1.5065,                  3.604,                 1.7441,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007362,               0.007362,               0.007362
                      5,                 1.4432,                 3.4983,                 1.7014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007362,               0.007362,               0.007362
                      6,                 1.4142,                 3.4084,                 1.6867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070927,              0.0070927,              0.0070927
                      7,                 1.3948,                 3.3042,                 1.6701,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068233,              0.0068233,              0.0068233
                      8,                 1.3587,                 3.1693,                 1.6465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006554,               0.006554,               0.006554
                      9,                 1.3628,                  3.132,                 1.6325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062847,              0.0062847,              0.0062847
                     10,                 1.3064,                 3.0718,                 1.5754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060153,              0.0060153,              0.0060153
                     11,                 1.3158,                 2.9566,                 1.5578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005746,               0.005746,               0.005746
                     12,                 1.3029,                 2.9294,                  1.579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054767,              0.0054767,              0.0054767
                     13,                 1.2806,                 2.9111,                 1.5591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052073,              0.0052073,              0.0052073
                     14,                 1.2813,                 2.8099,                  1.536,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004938,               0.004938,               0.004938
                     15,                 1.2651,                  2.814,                 1.5227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046687,              0.0046687,              0.0046687
                     16,                 1.2232,                 2.6885,                 1.4968,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043993,              0.0043993,              0.0043993
                     17,                 1.2259,                 2.6624,                 1.4921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00413,                0.00413,                0.00413
                     18,                 1.2277,                 2.5884,                 1.5058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038607,              0.0038607,              0.0038607
                     19,                 1.1777,                 2.5244,                 1.4816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035914,              0.0035914,              0.0035914
                     20,                  1.186,                   2.52,                 1.4884,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003322,               0.003322,               0.003322
                     21,                 1.1721,                 2.5201,                 1.5045,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030527,              0.0030527,              0.0030527
                     22,                 1.1538,                 2.3903,                 1.5018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027834,              0.0027834,              0.0027834
                     23,                 1.1344,                 2.3423,                 1.4711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002514,               0.002514,               0.002514
                     24,                 1.1365,                 2.3411,                 1.4785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022447,              0.0022447,              0.0022447
                     25,                 1.0923,                 2.2091,                 1.4323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019754,              0.0019754,              0.0019754
                     26,                 1.0935,                 2.2138,                 1.4227,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001706,               0.001706,               0.001706
                     27,                   1.08,                 2.1745,                 1.4335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014367,              0.0014367,              0.0014367
                     28,                 1.0663,                 2.0917,                  1.412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011674,              0.0011674,              0.0011674
                     29,                 1.0516,                 2.0578,                  1.389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089803,             0.00089803,             0.00089803
                     30,                 1.0175,                 1.9729,                 1.3712,                0.39937,                0.57511,                0.51635,                0.36234,                 1.1631,                 1.8167,                 1.5007,              0.0006287,              0.0006287,              0.0006287
