                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83268,                 2.8343,                 1.5325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077404,             0.00076869,             0.00076869
                      2,                0.89822,                 2.6592,                 1.6027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.054577,              0.0014927,              0.0014927
                      3,                0.86133,                 2.5086,                 1.5628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.031698,              0.0021656,              0.0021656
                      4,                0.82864,                 2.3669,                 1.4984,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0087687,              0.0027874,              0.0027874
                      5,                0.79445,                 2.2563,                 1.4733,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028563,              0.0028563,              0.0028563
                      6,                0.77221,                  2.164,                 1.4421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028563,              0.0028563,              0.0028563
                      7,                0.76252,                  2.093,                 1.4331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027479,              0.0027479,              0.0027479
                      8,                0.74144,                 1.9598,                 1.4081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026395,              0.0026395,              0.0026395
                      9,                0.72233,                 1.9182,                 1.3727,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025311,              0.0025311,              0.0025311
                     10,                0.71237,                 1.9123,                 1.3571,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024227,              0.0024227,              0.0024227
                     11,                0.70638,                 1.8044,                 1.3374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0023143,              0.0023143,              0.0023143
                     12,                0.69536,                 1.8143,                 1.3546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022058,              0.0022058,              0.0022058
                     13,                0.68485,                 1.7684,                 1.3327,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020974,              0.0020974,              0.0020974
                     14,                0.68826,                 1.7053,                 1.3245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001989,               0.001989,               0.001989
                     15,                0.66605,                 1.6616,                 1.3075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018806,              0.0018806,              0.0018806
                     16,                0.65787,                  1.602,                 1.2931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017722,              0.0017722,              0.0017722
                     17,                0.64363,                 1.5794,                 1.2816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016638,              0.0016638,              0.0016638
                     18,                0.62892,                 1.4905,                 1.2772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015554,              0.0015554,              0.0015554
                     19,                0.61918,                 1.4756,                 1.2481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014469,              0.0014469,              0.0014469
                     20,                0.62053,                 1.4124,                 1.2502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013385,              0.0013385,              0.0013385
                     21,                0.60757,                 1.4116,                 1.2593,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012301,              0.0012301,              0.0012301
                     22,                 0.5898,                 1.3076,                 1.2416,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011217,              0.0011217,              0.0011217
                     23,                0.58015,                 1.2751,                  1.217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010133,              0.0010133,              0.0010133
                     24,                 0.5734,                 1.2488,                 1.2172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090486,             0.00090486,             0.00090486
                     25,                0.55908,                 1.1622,                 1.1903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00079645,             0.00079645,             0.00079645
                     26,                0.54728,                 1.0944,                 1.1681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00068803,             0.00068803,             0.00068803
                     27,                0.53048,                 1.0705,                 1.1597,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00057962,             0.00057962,             0.00057962
                     28,                0.52295,                 1.0044,                 1.1401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004712,              0.0004712,              0.0004712
                     29,                0.51612,                0.96864,                 1.1222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036279,             0.00036279,             0.00036279
                     30,                0.49318,                0.90467,                 1.1064,                0.58606,                0.67591,                0.64799,                0.45079,                0.70108,                 1.1174,                 1.4205,             0.00025437,             0.00025437,             0.00025437
