                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5679,                 3.6933,                  1.853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.076245,              0.0019122,              0.0019122
                      2,                 1.6063,                 3.3935,                 1.8488,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.052173,              0.0037132,              0.0037132
                      3,                 1.5589,                 3.3045,                 1.8098,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.027975,              0.0053872,              0.0053872
                      4,                 1.4926,                 3.1686,                 1.7661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067137,              0.0067137,              0.0067137
                      5,                 1.4396,                 3.0833,                 1.7161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067137,              0.0067137,              0.0067137
                      6,                 1.4192,                 2.9587,                 1.6757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064682,              0.0064682,              0.0064682
                      7,                 1.3678,                 2.8541,                 1.6569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062228,              0.0062228,              0.0062228
                      8,                 1.3527,                 2.7894,                 1.6465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059773,              0.0059773,              0.0059773
                      9,                 1.3334,                 2.7464,                 1.6139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057319,              0.0057319,              0.0057319
                     10,                 1.2977,                 2.6747,                 1.5761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054864,              0.0054864,              0.0054864
                     11,                  1.316,                 2.5889,                 1.5651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005241,               0.005241,               0.005241
                     12,                 1.2958,                 2.5895,                  1.583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049955,              0.0049955,              0.0049955
                     13,                  1.273,                 2.5091,                 1.5481,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047501,              0.0047501,              0.0047501
                     14,                 1.2587,                 2.4474,                 1.5335,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045047,              0.0045047,              0.0045047
                     15,                 1.2553,                   2.43,                 1.5412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042592,              0.0042592,              0.0042592
                     16,                 1.2319,                 2.3434,                 1.5229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040138,              0.0040138,              0.0040138
                     17,                 1.2286,                 2.3501,                 1.5159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037683,              0.0037683,              0.0037683
                     18,                 1.1887,                 2.2766,                 1.5078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035229,              0.0035229,              0.0035229
                     19,                  1.156,                 2.1557,                 1.4614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032774,              0.0032774,              0.0032774
                     20,                  1.148,                  2.091,                 1.4575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003032,               0.003032,               0.003032
                     21,                 1.1719,                 2.1797,                 1.5097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027865,              0.0027865,              0.0027865
                     22,                 1.1387,                 2.0808,                 1.4915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025411,              0.0025411,              0.0025411
                     23,                  1.112,                  2.016,                 1.4492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022957,              0.0022957,              0.0022957
                     24,                 1.1043,                  2.001,                 1.4591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020502,              0.0020502,              0.0020502
                     25,                 1.1037,                 1.9205,                 1.4474,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018048,              0.0018048,              0.0018048
                     26,                 1.0757,                 1.8928,                 1.4097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015593,              0.0015593,              0.0015593
                     27,                 1.0566,                  1.843,                 1.4236,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013139,              0.0013139,              0.0013139
                     28,                 1.0468,                 1.7889,                 1.3964,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010684,              0.0010684,              0.0010684
                     29,                 1.0146,                 1.7355,                 1.3634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082298,             0.00082298,             0.00082298
                     30,                0.98693,                 1.6504,                 1.3504,                 0.4686,                0.52161,                0.51346,                0.36874,                  1.171,                 1.5459,                 1.5166,             0.00057753,             0.00057753,             0.00057753
