                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7812,                 3.9509,                 1.9252,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.059861,              0.0032639,              0.0032639
                      2,                 1.7318,                 3.5633,                 1.8815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.019184,              0.0063372,              0.0063372
                      3,                 1.6286,                 3.3801,                 1.8089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070227,              0.0070227,              0.0070227
                      4,                 1.5615,                 3.2281,                 1.7214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070227,              0.0070227,              0.0070227
                      5,                 1.5111,                 3.1191,                 1.7042,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067741,              0.0067741,              0.0067741
                      6,                  1.495,                 3.0111,                 1.6966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065255,              0.0065255,              0.0065255
                      7,                 1.4708,                 2.9825,                 1.6711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062768,              0.0062768,              0.0062768
                      8,                 1.4576,                 2.8649,                 1.6529,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060282,              0.0060282,              0.0060282
                      9,                  1.421,                 2.7881,                  1.629,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057796,              0.0057796,              0.0057796
                     10,                 1.3676,                 2.7083,                 1.5893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055309,              0.0055309,              0.0055309
                     11,                 1.3704,                 2.7259,                 1.5814,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052823,              0.0052823,              0.0052823
                     12,                 1.3911,                 2.6647,                 1.6025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050337,              0.0050337,              0.0050337
                     13,                 1.3386,                 2.6096,                 1.5602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004785,               0.004785,               0.004785
                     14,                 1.3467,                 2.5747,                 1.5443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045364,              0.0045364,              0.0045364
                     15,                 1.3343,                  2.567,                 1.5551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042878,              0.0042878,              0.0042878
                     16,                 1.3072,                 2.4545,                 1.5203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040391,              0.0040391,              0.0040391
                     17,                 1.3061,                 2.4271,                 1.5268,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037905,              0.0037905,              0.0037905
                     18,                 1.2955,                  2.382,                 1.5108,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035419,              0.0035419,              0.0035419
                     19,                 1.2261,                 2.2753,                 1.4603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032932,              0.0032932,              0.0032932
                     20,                 1.2384,                 2.2769,                 1.4785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030446,              0.0030446,              0.0030446
                     21,                 1.2654,                 2.3151,                 1.5375,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002796,               0.002796,               0.002796
                     22,                  1.228,                 2.2138,                 1.5091,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025473,              0.0025473,              0.0025473
                     23,                 1.2166,                 2.1546,                 1.4937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0022987,              0.0022987,              0.0022987
                     24,                 1.1974,                 2.1349,                 1.4907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0020501,              0.0020501,              0.0020501
                     25,                 1.1668,                 2.0201,                 1.4592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018014,              0.0018014,              0.0018014
                     26,                 1.1552,                 2.0458,                 1.4362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015528,              0.0015528,              0.0015528
                     27,                 1.1403,                 1.9822,                  1.435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013042,              0.0013042,              0.0013042
                     28,                 1.1241,                 1.9306,                 1.4146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010555,              0.0010555,              0.0010555
                     29,                 1.1031,                 1.8795,                 1.3926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080689,             0.00080689,             0.00080689
                     30,                 1.0844,                 1.7993,                 1.3822,                0.26321,                0.60286,                0.30393,                0.21424,                    nan,                    nan,                    nan,             0.00055825,             0.00055825,             0.00055825
